fonts-filesystem 2.0.5
gnome-font-viewer 45.0
gnome-logs 45~beta
gnome-weather 45.0
fedora-flathub-remote 1
abrt-cli 2.17.1
abrt-java-connector 1.3.2
anaconda-install-env-deps 39.32.6
fedora-workstation-repositories 38
mediawriter 5.0.8
PackageKit-command-not-found 1.2.6
gnome-user-share 43.0
shim-x64 15.6
shim-ia32 15.6
hyperv-daemons 0
zram-generator-defaults 1.1.2
plymouth-system-theme 22.02.122
gnome-backgrounds 45.0
PackageKit-gtk3-module 1.2.6
paps 0.8.0
uresourced 0.5.3
spice-webdavd 3.0
fros-gnome 1.1
pinfo 0.6.13
thermald 2.5
wget 1.21.3
fedora-workstation-backgrounds 1.6
iptstate 2.2.7
PackageKit-gstreamer-plugin 1.2.6
desktop-backgrounds-gnome 39.0.0
mcelog 175
net-tools 2.0
psacct 6.6.4
spice-vdagent 0.22.1
b43-openfwwf 5.2
cryptsetup 2.6.1
pam_afs_session 2.6
tcpdump 4.99.4
mactel-boot 0.9
man-db 2.11.2
fpaste 0.4.4.0
fedora-chromium-config 3.0
bash-completion 2.11
default-editor 7.2
passwdqc 2.0.3
efibootmgr 18
gamemode 1.7
zip 3.0
cyrus-sasl-plain 2.1.28
whois 5.5.18
mtr 0.95
bc 1.07.1
livesys-scripts 0.5.0
b43-fwcutter 019
compsize 1.5
dos2unix 7.5.0
lrzsz 0.12.20
mpage 2.5.7
symlinks 1.7
tree 2.1.0
default-fonts-other-sans 4.0
default-fonts-core-math 4.0
default-fonts-other-serif 4.0
default-fonts-cjk-serif 4.0
default-fonts-cjk-sans 4.0
default-fonts-cjk-mono 4.0
default-fonts-core-emoji 4.0
default-fonts-core-serif 4.0
default-fonts-core-mono 4.0
default-fonts-other-mono 4.0
words 3.0
rootfiles 8.1
fedora-bookmarks 28
rpmfusion-nonfree-release 39
rpmfusion-free-release 39
gpg-pubkey d651ff2e
gpg-pubkey 94843c65
rpmfusion-nonfree-appstream-data 39
rpmfusion-free-appstream-data 39
gpg-pubkey 18b8e74c
libgcc 13.2.1
tzdata 2023d
libstdc++ 13.2.1
libdrm 2.4.120
pam-libs 1.5.3
libcap 2.48
libacl 2.3.1
shadow-utils 4.14.0
grub2-common 2.06
elfutils-libelf 0.190
p11-kit 0.25.3
nspr 4.35.0
tpm2-tss 4.0.1
libXrandr 1.5.4
libnghttp2 1.55.1
libnl3 3.9.0
nss-util 3.96.1
grub2-tools-minimal 2.06
libreoffice-data 7.6.4.1
liburing 2.5
bubblewrap 0.8.0
oneVPL-intel-gpu 23.3.4
oneVPL 2023.3.1
libavutil-free 6.0.1
llvm-libs 17.0.6
libical 3.0.17
bluez-libs 5.72
libxslt 1.1.39
xkeyboard-config 2.40
libxkbcommon 1.6.0
hwdata 0.378
libxkbcommon-x11 1.6.0
p11-kit-trust 0.25.3
libaom 3.8.0
libatomic 13.2.1
libgomp 13.2.1
libvpx 1.13.1
pcsc-lite-libs 2.0.1
libswresample-free 6.0.1
procps-ng 4.0.3
libei 1.2.0
python3-libs 3.12.1
crypto-policies-scripts 20231204
crypto-policies 20231204
libcurl-minimal 8.2.1
pam 1.5.3
elfutils-default-yama-scope 0.190
elfutils-debuginfod-client 0.190
elfutils-libs 0.190
grubby 8.40
dracut 059
grub2-tools 2.06
glib2 2.78.3
cups-libs 2.4.7
libsoup3 3.4.4
polkit-libs 123
gvfs-client 1.52.2
libsecret 0.21.2
NetworkManager-libnm 1.44.2
NetworkManager 1.44.2
librsvg2 2.57.1
rsvg-pixbuf-loader 2.57.1
ibus-libs 1.5.29~rc2
libgfrpc0 11.1
libgfxdr0 11.1
libglusterfs0 11.1
polkit 123
gvfs 1.52.2
bluez 5.72
libnotify 0.8.3
cups-filesystem 2.4.7
libical-glib 3.0.17
libxmlb 0.3.15
curl 8.2.1
pcsc-lite 2.0.1
gnupg2-smime 2.4.3
gnupg2 2.4.3
glusterfs-client-xlators 11.1
libgfapi0 11.1
dracut-network 059
bolt 0.9.6
libgs 10.02.1
ghostscript-tools-fonts 10.02.1
ghostscript-tools-printing 10.02.1
ghostscript 10.02.1
libpeas1 1.36.0
flatpak-session-helper 1.15.6
javascriptcoregtk6.0 2.42.3
libcloudproviders 0.3.5
libgusb 0.4.8
fwupd-plugin-flashrom 1.9.11
fwupd-plugin-modem-manager 1.9.11
fwupd-plugin-uefi-capsule-data 1.9.11
fwupd 1.9.11
libproxy 0.5.3
nautilus-extensions 45.2.1
openssh 9.3p1
pciutils-libs 3.10.0
rav1e-libs 0.6.6
libavcodec-free 6.0.1
cldr-emoji-annotation-dtd 44.1
cldr-emoji-annotation 44.1
gnome-control-center-filesystem 45.2
fedora-release-identity-workstation 39
fedora-release-workstation 39
fedora-release-common 39
qt6-qtbase-common 6.6.0
qt6-qtdeclarative 6.6.0
qt6-qtsvg 6.6.0
qt6-qtbase 6.6.0
qt6-qtwayland 6.6.0
qt6-qtbase-gui 6.6.0
virglrenderer 0.10.4
libheif 1.17.5
glycin-loaders 0.1.2
pciutils 3.10.0
open-vm-tools 12.3.5
openssh-clients 9.3p1
git-core 2.43.0
git-core-doc 2.43.0
flatpak-libs 1.15.6
bluez-obexd 5.72
rtkit 0.11
glusterfs 11.1
glusterfs-fuse 11.1
glusterfs-cli 11.1
NetworkManager-wifi 1.44.2
NetworkManager-wwan 1.44.2
brlapi 0.8.5
brltty 6.6
python3-brlapi 0.8.5
gssdp 1.6.3
osinfo-db-tools 1.11.0
cups-client 2.4.7
cups-ipptool 2.4.7
virtiofsd 1.9.0
conmon 2.1.8
javascriptcoregtk4.1 2.42.3
libgsf 1.14.51
libgtop2 2.41.2
qpdf-libs 11.6.4
libcupsfilters 2.0.0
dracut-squash 059
libcmis 0.6.2
blivet-data 3.8.2
python3-regex 2023.12.25
python3-urllib3+socks 1.26.18
python3-urllib3 1.26.18
gettext 0.22
osinfo-db 20231215
libosinfo 1.11.0
tracker-miners 3.6.2
vulkan-loader 1.3.268.0
libpostproc-free 6.0.1
libswscale-free 6.0.1
nss-softokn-freebl 3.96.1
nss-softokn 3.96.1
nss-sysinit 3.96.1
nss 3.96.1
p11-kit-server 0.25.3
grub2-pc-modules 2.06
httpd-filesystem 2.4.58
acl 2.3.1
cups-browsed 2.0.0
cups-filters 2.0.0
cups 2.4.7
libppd 2.0.0
shadow-utils-subid 4.14.0
liboeffis 1.2.0
espeak-ng 1.51.1
speech-dispatcher 0.11.5
speech-dispatcher-espeak-ng 0.11.5
python3-speechd 0.11.5
libopenmpt 0.6.12
libphonenumber 8.13.27
mozjs115 115.6.0
spirv-tools-libs 2023.3
libshaderc 2023.7
zimg 3.0.5
xorg-x11-xinit 1.4.2
libdovi 3.2.0
libplacebo 6.292.1
liblc3 1.0.4
wireplumber 0.4.17
wireplumber-libs 0.4.17
xdg-desktop-portal 1.18.2
gnome-remote-desktop 45.1
skopeo 1.14.0
aardvark-dns 1.9.0
c-ares 1.25.0
dmidecode 3.5
httpd-tools 2.4.58
httpd-core 2.4.58
mod_http2 2.0.25
mod_lua 2.4.58
libbytesize 2.10
python3-bytesize 2.10
libcomps 0.1.20
python3-libcomps 0.1.20
libeis 1.2.0
libimagequant 4.0.3
python3-pillow 10.2.0
libnet 1.3
criu 3.19
criu-libs 3.19
libuv 1.47.0
perl-NDBM_File 1.16
perl-DynaLoader 1.54
perl-libs 5.38.2
perl-vars 1.05
perl-Fcntl 1.15
perl-Symbol 1.09
perl-POSIX 2.13
perl-locale 1.10
perl-File-Basename 2.86
perl-overloading 0.02
perl-File-Find 1.43
perl-SelectSaver 1.02
perl-Class-Struct 0.68
perl-Errno 1.37
perl-if 0.61.000
perl-interpreter 5.38.2
perl-lib 0.65
perl-mro 1.28
perl-overload 1.37
perl-File-stat 1.13
perl-IO 1.52
perl-IPC-Open3 1.22
perl-Git 2.43.0
git 2.43.0
rpm-libs 4.19.1
gdb-headless 14.1
rpm 4.19.1
policycoreutils 3.5
passt 0^20231230.gf091893
passt-selinux 0^20231230.gf091893
python3-policycoreutils 3.5
policycoreutils-python-utils 3.5
flatpak-selinux 1.15.6
flatpak 1.15.6
rpm-build-libs 4.19.1
rpm-plugin-systemd-inhibit 4.19.1
rpm-sign-libs 4.19.1
python3-rpm 4.19.1
vte-profile 0.74.2
zchunk-libs 1.4.0
kernel-modules-core 6.6.11
kernel-core 6.6.11
kernel-modules 6.6.11
kernel 6.6.11
xen-licenses 4.17.2
xen-libs 4.17.2
vim-data 9.1.031
tzdata-java 2023d
java-17-openjdk-headless 17.0.9.0.9
seavgabios-bin 1.16.3
seabios-bin 1.16.3
mutter-common 45.3
libwacom-data 2.9.0
libwacom 2.9.0
libssh-config 0.10.6
libssh 0.10.6
libvirt-libs 9.7.0
libvirt-daemon-lock 9.7.0
libvirt-daemon-log 9.7.0
libvirt-daemon-plugin-lockd 9.7.0
libvirt-daemon-proxy 9.7.0
libavformat-free 6.0.1
libavfilter-free 6.0.1
libvirt-client 9.7.0
libvirt-daemon-common 9.7.0
libvirt-daemon-driver-storage-core 9.7.0
libvirt-daemon-driver-network 9.7.0
libvirt-daemon-driver-storage-disk 9.7.0
libvirt-daemon-driver-storage-gluster 9.7.0
libvirt-daemon-driver-storage-iscsi 9.7.0
libvirt-daemon-driver-storage-iscsi-direct 9.7.0
libvirt-daemon-driver-storage-logical 9.7.0
libvirt-daemon-driver-storage-mpath 9.7.0
libvirt-daemon-driver-storage-rbd 9.7.0
libvirt-daemon-driver-storage-scsi 9.7.0
libvirt-daemon-driver-storage-zfs 9.7.0
libvirt-daemon-driver-storage 9.7.0
libvirt-daemon 9.7.0
libvirt-daemon-driver-interface 9.7.0
libvirt-daemon-driver-nodedev 9.7.0
libvirt-daemon-driver-nwfilter 9.7.0
libvirt-daemon-driver-qemu 9.7.0
libvirt-daemon-driver-secret 9.7.0
libreoffice-ure-common 7.6.4.1
libreoffice-ure 7.6.4.1
libreoffice-opensymbol-fonts 7.6.4.1
langtable 0.0.64
python3-langtable 0.0.64
google-noto-sans-mono-cjk-vf-fonts 2.004
edk2-ovmf 20231122
dnf-data 4.18.2
python3-dnf 4.18.2
dnf 4.18.2
python3-dnf-plugins-core 4.4.4
dnf-plugins-core 4.4.4
autocorr-en 7.6.4.1
ibus-gtk3 1.5.29~rc2
xdg-desktop-portal-gtk 1.15.1
libreoffice-gtk3 7.6.4.1
libreoffice-help-en 7.6.4.1
libreoffice-langpack-en 7.6.4.1
libreoffice-x11 7.6.4.1
libreoffice-core 7.6.4.1
libreoffice-gtk4 7.6.4.1
gtk4 4.12.4
libadwaita 1.4.2
ibus-setup 1.5.29~rc2
ibus 1.5.29~rc2
libreoffice-pyuno 7.6.4.1
libreoffice-pdfimport 7.6.4.1
gnome-settings-daemon 45.1
libreoffice-writer 7.6.4.1
gnome-bluetooth-libs 42.7
gnome-bluetooth 42.7
xdg-desktop-portal-gnome 45.1
libnma-gtk4 1.10.6
libreoffice-graphicfilter 7.6.4.1
webkitgtk6.0 2.42.3
libdecor 0.2.2
SDL2 2.28.5
libhandy 1.8.2
vte291 0.74.2
gnome-terminal 3.50.1
SDL2_image 2.8.2
webkit2gtk4.1 2.42.3
evolution-data-server-langpacks 3.50.3
evolution-data-server 3.50.3
mutter 45.3
libreoffice-calc 7.6.4.1
nautilus 45.2.1
libshumate 1.1.2
libreoffice-ogltrans 7.6.4.1
libreoffice-impress 7.6.4.1
libreoffice-xsltfilter 7.6.4.1
libnma 1.10.6
nm-connection-editor 1.34.0
gnome-control-center 45.2
gnome-shell 45.3
gnome-shell-extension-common 45.2
gnome-shell-extension-apps-menu 45.2
gnome-shell-extension-launch-new-instance 45.2
gnome-shell-extension-places-menu 45.2
gnome-shell-extension-window-list 45.2
libwnck3 43.0
appstream-data 39
gnome-software 45.3
gnome-classic-session 45.2
libreoffice-filters 7.6.4.1
gnome-calendar 45.1
libvirt-daemon-kvm 9.7.0
gnome-terminal-nautilus 3.50.1
gnome-disk-utility 45.1
libreoffice-emailmerge 7.6.4.1
ibus-libpinyin 1.15.6
ibus-m17n 1.4.27
gnome-text-editor 45.1
loupe 45.3
zenity 4.0.1
ibus-gtk4 1.5.29~rc2
libpeas1-gtk 1.36.0
open-vm-tools-desktop 12.3.5
gdb 14.1
yum 4.18.2
google-noto-sans-cjk-vf-fonts 2.004
libvirt-daemon-config-network 9.7.0
vim-minimal 9.1.031
kernel-modules-extra 6.6.11
libsolv 0.7.27
rpm-plugin-selinux 4.19.1
perl-FileHandle 2.05
perl-B 1.88
perl-AutoLoader 5.74
perl-Getopt-Std 1.13
perl-base 2.27
python3-blivet 3.8.2
httpd 2.4.58
kexec-tools 2.0.27
toolbox 0.0.99.5
bluez-cups 5.72
grub2-pc 2.06
gupnp 1.6.6
NetworkManager-bluetooth 1.44.2
openssh-server 9.3p1
libpeas1-loader-python3 1.36.0
graphviz 8.1.0
dracut-live 059
opensc 0.24.0
gvfs-smb 1.52.2
gvfs-afc 1.52.2
gvfs-afp 1.52.2
gvfs-archive 1.52.2
gvfs-fuse 1.52.2
gvfs-goa 1.52.2
gvfs-gphoto2 1.52.2
gvfs-mtp 1.52.2
NetworkManager-adsl 1.44.2
NetworkManager-ppp 1.44.2
NetworkManager-team 1.44.2
slirp4netns 1.2.2
chrony 4.5
grub2-efi-ia32 2.06
grub2-efi-x64 2.06
dracut-config-rescue 059
openvpn 2.6.8
nvme-cli 2.6
elfutils 0.190
tpm2-tss-fapi 4.0.1
python3-cairo 1.25.1
python3-productmd 1.38
LibRaw 0.21.2
grub2-tools-extra 2.06
libnl3-cli 3.9.0
grub2-efi-ia32-cdboot 2.06
grub2-efi-x64-cdboot 2.06
grub2-tools-efi 2.06
dbus-broker 35
tmux 3.3a
groff-base 1.23.0
libffado 2.4.7
man-pages 6.05
traceroute 2.1.5
cpp 13.2.1
exfatprogs 1.2.2
libXpm 3.5.17
libsodium 1.0.18
mbedtls 2.28.5
oniguruma 6.9.9
rit-meera-new-fonts 1.5.2
publicsuffix-list-dafsa 20240107
microcode_ctl 2.1
m17n-db 1.8.5
google-noto-serif-cjk-vf-fonts 2.002
gnome-user-docs 45.1
distribution-gpg-keys 1.100
bash-color-prompt 0.4
alsa-sof-firmware 2023.12
aajohan-comfortaa-fonts 3.105
NetworkManager-config-connectivity-fedora 1.44.2
nodejs-docs 20.10.0
gpm-libs 1.20.7
gc 8.2.2
guile22 2.2.7
make 4.4.1
xxd 9.1.031
vim-filesystem 9.1.031
vim-common 9.1.031
slang 2.3.3
nodejs-libs 20.10.0
nodejs-full-i18n 20.10.0
nodejs-npm 10.2.3
nodejs 20.10.0
libstdc++-devel 13.2.1
kernel-headers 6.6.3
libxcrypt-devel 4.4.36
gcc 13.2.1
xwininfo 1.1.5
xrandr 1.5.2
perl-NKF 2.1.4
w3m 0.5.3
mesa-libGLU 9.0.3
libXxf86dga 1.1.5
xdpyinfo 1.3.3
imlib2 1.11.1
gdk-pixbuf2-xlib 2.40.2
w3m-img 0.5.3
freeglut 3.4.0
libcaca 0.99
toilet 0.3
caca-utils 0.99
catimg 2.7.0
neofetch 7.1.0
gcc-c++ 13.2.1
vim-enhanced 9.1.031
gnome-tweaks 45.0
gpg-pubkey 222d23d0
sublime-text 4169
bash 5.2.26
systemd-libs 254.8
linux-firmware-whence 20240115
libblockdev-utils 3.1.0
gstreamer1 1.22.9
libuuid 2.39.3
libblkid 2.39.3
gstreamer1-plugins-base 1.22.9
libmount 2.39.3
libsss_idmap 2.9.4
libsss_certmap 2.9.4
libfdisk 2.39.3
at-spi2-core 2.50.1
atk 2.50.1
readline 8.2
libva 2.20.0
alternatives 1.26
librados2 18.2.1
libblockdev 3.1.0
libsmartcols 2.39.3
util-linux-core 2.39.3
librbd1 18.2.1
gstreamer1-plugins-bad-free-libs 1.22.9
gjs 1.78.3
at-spi2-atk 2.50.1
python3-pyatspi 2.46.1
libblockdev-fs 3.1.0
ostree-libs 2024.1
btrfs-progs 6.7
libblockdev-btrfs 3.1.0
libblockdev-crypto 3.1.0
libblockdev-nvdimm 3.1.0
libblockdev-loop 3.1.0
libblockdev-mdraid 3.1.0
libblockdev-nvme 3.1.0
cirrus-audio-firmware 20240115
intel-audio-firmware 20240115
nxpwireless-firmware 20240115
tiwilink-firmware 20240115
amd-gpu-firmware 20240115
amd-ucode-firmware 20240115
atheros-firmware 20240115
brcmfmac-firmware 20240115
intel-gpu-firmware 20240115
mt7xxx-firmware 20240115
nvidia-gpu-firmware 20240115
realtek-firmware 20240115
linux-firmware 20240115
libinput 1.25.0
libwinpr 2.11.4
qemu-pr-helper 8.1.3
usbutils 017
qemu-user-static-aarch64 8.1.3
qemu-user-static-alpha 8.1.3
qemu-user-static-arm 8.1.3
qemu-user-static-cris 8.1.3
qemu-user-static-hexagon 8.1.3
qemu-user-static-hppa 8.1.3
qemu-user-static-loongarch64 8.1.3
qemu-user-static-m68k 8.1.3
qemu-user-static-microblaze 8.1.3
qemu-user-static-mips 8.1.3
qemu-user-static-nios2 8.1.3
qemu-user-static-or1k 8.1.3
qemu-user-static-ppc 8.1.3
qemu-user-static-riscv 8.1.3
qemu-user-static-s390x 8.1.3
qemu-user-static-sh4 8.1.3
qemu-user-static-sparc 8.1.3
qemu-user-static-x86 8.1.3
qemu-user-static-xtensa 8.1.3
unbound-anchor 1.19.0
unbound-libs 1.19.0
gvisor-tap-vsock-gvforwarder 0.7.2
gvisor-tap-vsock 0.7.2
xorg-x11-server-common 1.20.14
tigervnc-license 1.13.1
qt-settings 39.1
mariadb-connector-c-config 3.3.8
libsss_sudo 2.9.4
libsss_nss_idmap 2.9.4
libipa_hbac 2.9.4
hplip-common 3.23.12
hplip-libs 3.23.12
libsane-hpaio 3.23.12
gtk-update-icon-cache 3.24.41
gtk3 3.24.41
device-mapper-persistent-data 1.0.9
coreutils-common 9.3
coreutils 9.3
systemd-networkd 254.8
systemd-pam 254.8
systemd-resolved 254.8
systemd 254.8
util-linux 2.39.3
qemu-common 8.1.3
krb5-libs 1.21.2
qemu-ui-opengl 8.1.3
qemu-ui-spice-core 8.1.3
samba-common 4.19.4
systemd-udev 254.8
kernel-modules-core 6.6.13
kernel-core 6.6.13
libtirpc 1.3.4
libwbclient 4.19.4
samba-client-libs 4.19.4
samba-common-libs 4.19.4
device-mapper-libs 1.02.197
device-mapper 1.02.197
device-mapper-event-libs 1.02.197
libsmbclient 4.19.4
kernel-modules 6.6.13
qemu-char-spice 8.1.3
libnfsidmap 2.6.4
sssd-nfs-idmap 2.9.4
qemu-ui-spice-app 8.1.3
kernel 6.6.13
device-mapper-event 1.02.197
lvm2-libs 2.03.23
lvm2 2.03.23
libblockdev-lvm 3.1.0
lvm2-dbusd 2.03.23
libblockdev-dm 3.1.0
libblockdev-mpath 3.1.0
qemu-audio-spice 8.1.3
qemu-device-display-qxl 8.1.3
qemu-ui-egl-headless 8.1.3
qemu-ui-gtk 8.1.3
qemu-ui-sdl 8.1.3
sssd-client 2.9.4
sssd-common 2.9.4
sssd-krb5-common 2.9.4
sssd-common-pac 2.9.4
sssd-krb5 2.9.4
sssd-ldap 2.9.4
sssd-proxy 2.9.4
qemu-audio-alsa 8.1.3
qemu-audio-dbus 8.1.3
qemu-audio-jack 8.1.3
qemu-audio-oss 8.1.3
qemu-audio-pa 8.1.3
qemu-audio-pipewire 8.1.3
qemu-audio-sdl 8.1.3
qemu-block-blkio 8.1.3
qemu-block-curl 8.1.3
qemu-block-dmg 8.1.3
qemu-block-gluster 8.1.3
qemu-block-iscsi 8.1.3
qemu-block-nfs 8.1.3
qemu-block-rbd 8.1.3
qemu-block-ssh 8.1.3
qemu-char-baum 8.1.3
qemu-device-display-vhost-user-gpu 8.1.3
qemu-device-display-virtio-gpu 8.1.3
qemu-device-display-virtio-gpu-ccw 8.1.3
qemu-device-display-virtio-gpu-gl 8.1.3
qemu-device-display-virtio-gpu-pci 8.1.3
qemu-device-display-virtio-gpu-pci-gl 8.1.3
qemu-device-display-virtio-vga 8.1.3
qemu-device-display-virtio-vga-gl 8.1.3
qemu-device-usb-host 8.1.3
qemu-device-usb-redirect 8.1.3
qemu-device-usb-smartcard 8.1.3
qemu-system-x86-core 8.1.3
qemu-ui-curses 8.1.3
qemu-system-x86 8.1.3
libblockdev-part 3.1.0
libblockdev-swap 3.1.0
bind-license 9.18.21
bind-libs 9.18.21
bind-utils 9.18.21
sssd-ad 2.9.4
sssd-ipa 2.9.4
ImageMagick-libs 7.1.1.26
qt5-qttranslations 5.15.12
gstreamer1-plugins-good-qt6 1.22.9
gstreamer1-plugins-good 1.22.9
qt5-qtbase-common 5.15.12
qt5-qtsvg 5.15.12
qt5-qtbase 5.15.12
qadwaitadecorations-qt5 0.1.3
qt5-qtwayland 5.15.12
qt5-qtbase-gui 5.15.12
qt5-qtx11extras 5.15.12
qt5-qtdeclarative 5.15.12
gstreamer1-plugins-good-qt 1.22.9
qt5-qtxmlpatterns 5.15.12
gstreamer1-plugins-good-gtk 1.22.9
ImageMagick 7.1.1.26
sssd 2.9.4
libblockdev-plugins-all 3.1.0
qemu-kvm 8.1.3
sssd-kcm 2.9.4
libblockdev-lvm-dbus 3.1.0
virtualbox-guest-additions 7.0.14
nfs-utils 2.6.4
kernel-modules-extra 6.6.13
samba-client 4.19.4
xorg-x11-server-Xwayland 23.2.4
ipp-usb 0.9.24
mdevctl 1.3.0
mariadb-connector-c 3.3.8
hplip 3.23.12
ostree 2024.1
pcsc-lite-ccid 1.5.5
qemu-guest-agent 8.1.3
qemu-user-static 8.1.3
systemd-container 254.8
systemd-oomd-defaults 254.8
tigervnc-server-minimal 1.13.1
xorg-x11-server-Xorg 1.20.14
gstreamer1-plugins-bad-free 1.22.9
rygel 0.42.5
python3-unbound 1.19.0
freerdp-libs 2.11.4
orca 45.2
gnome-maps 45.3
python3-blockdev 3.1.0
gstreamer1-plugin-libav 1.22.9
gstreamer1-plugins-ugly-free 1.22.9
epiphany-runtime 45.2
iwlegacy-firmware 20240115
iwlwifi-dvm-firmware 20240115
iwlwifi-mvm-firmware 20240115
libertas-firmware 20240115
plocate 1.1.22
webp-pixbuf-loader 0.2.6
sos 4.6.1
qemu-img 8.1.3
qadwaitadecorations-qt6 0.1.3
python3-beautifulsoup4 4.12.3
libxml++ 2.42.3
libwps 0.4.14
libwpg 0.3.4
libpeas 2.0.1
libmwaw 0.3.22
gh 2.42.0
folks 0.15.7
emacs-filesystem 29.2
chkconfig 1.26
python3-pip 23.2.1
python-setuptools-wheel 67.7.2
python3.11-libs 3.11.7
libidn2 2.3.7
audit-libs 3.1.2
gnutls 3.8.3
mesa-filesystem 23.3.4
mesa-va-drivers 23.3.4
mesa-libglapi 23.3.4
mesa-dri-drivers 23.3.4
mesa-libgbm 23.3.4
gnutls-dane 3.8.3
sudo-python-plugin 1.9.15
sudo 1.9.15
selinux-policy 39.4
selinux-policy-targeted 39.4
binutils-gold 2.40
binutils 2.40
gnutls-utils 3.8.3
mesa-libEGL 23.3.4
mesa-libGL 23.3.4
audit 3.1.2
python3-audit 3.1.2
dnsmasq 2.89
time 1.9
rpm-sequoia 1.6.0
rit-rachana-fonts 1.4.7
podman 4.9.0
mesa-vulkan-drivers 23.3.4
mesa-libxatracker 23.3.4
libwpe 1.15.2
libmaxminddb 1.9.1
ibus-libzhuyin 1.10.3
ethtool 6.7
crun 1.14
python-unversioned-command 3.12.1
python3.11 3.11.7
python3 3.12.1
google-noto-fonts-common 20240101
glibc-all-langpacks 2.38
glibc-common 2.38
glibc-gconv-extra 2.38
glibc-langpack-en 2.38
glibc 2.38
pipewire 1.0.2
pipewire-libs 1.0.2
kernel-modules-core 6.6.14
kernel-core 6.6.14
kernel-modules 6.6.14
glibc-headers-x86 2.38
python3-firewall 2.0.3
firewalld-filesystem 2.0.3
firewalld 2.0.3
glibc-devel 2.38
kernel 6.6.14
kernel-modules-extra 6.6.14
pipewire-alsa 1.0.2
pipewire-gstreamer 1.0.2
pipewire-pulseaudio 1.0.2
pipewire-utils 1.0.2
fftw-libs-double 3.3.10
libjcat 0.2.1
netavark 1.10.1
google-noto-naskh-arabic-vf-fonts 20240101
google-noto-sans-arabic-vf-fonts 20240101
google-noto-sans-armenian-vf-fonts 20240101
google-noto-sans-bengali-vf-fonts 20240101
google-noto-sans-canadian-aboriginal-vf-fonts 20240101
google-noto-sans-cherokee-vf-fonts 20240101
google-noto-sans-devanagari-vf-fonts 20240101
google-noto-sans-ethiopic-vf-fonts 20240101
google-noto-sans-georgian-vf-fonts 20240101
google-noto-sans-gujarati-vf-fonts 20240101
google-noto-sans-gurmukhi-vf-fonts 20240101
google-noto-sans-hebrew-vf-fonts 20240101
google-noto-sans-kannada-vf-fonts 20240101
google-noto-sans-khmer-vf-fonts 20240101
google-noto-sans-lao-vf-fonts 20240101
google-noto-sans-math-fonts 20240101
google-noto-sans-mono-vf-fonts 20240101
google-noto-sans-oriya-vf-fonts 20240101
google-noto-sans-sinhala-vf-fonts 20240101
google-noto-sans-symbols-vf-fonts 20240101
google-noto-sans-symbols2-fonts 20240101
google-noto-sans-tamil-vf-fonts 20240101
google-noto-sans-telugu-vf-fonts 20240101
google-noto-sans-thaana-vf-fonts 20240101
google-noto-sans-thai-vf-fonts 20240101
google-noto-sans-vf-fonts 20240101
google-noto-serif-armenian-vf-fonts 20240101
google-noto-serif-bengali-vf-fonts 20240101
google-noto-serif-devanagari-vf-fonts 20240101
google-noto-serif-georgian-vf-fonts 20240101
google-noto-serif-gujarati-vf-fonts 20240101
google-noto-serif-gurmukhi-vf-fonts 20240101
google-noto-serif-hebrew-vf-fonts 20240101
google-noto-serif-kannada-vf-fonts 20240101
google-noto-serif-khmer-vf-fonts 20240101
google-noto-serif-lao-vf-fonts 20240101
google-noto-serif-oriya-vf-fonts 20240101
google-noto-serif-sinhala-vf-fonts 20240101
google-noto-serif-tamil-vf-fonts 20240101
google-noto-serif-telugu-vf-fonts 20240101
google-noto-serif-thai-vf-fonts 20240101
google-noto-serif-vf-fonts 20240101
ibus-typing-booster 2.24.12
container-selinux 2.229.0
python3.10-libs 3.10.13
python3.10 3.10.13
gpg-pubkey be1229cf
code 1.86.0
openssl 3.1.1
alsa-lib 1.2.11
alsa-ucm 1.2.11
firefox-langpacks 122.0
firefox 122.0
alsa-utils 1.2.11
efivar-libs 39
