fonts-filesystem 2.0.5
svt-av1-libs 1.4.1
libiscsi 1.19.0^20230804git7577ec5
plymouth-graphics-libs 22.02.122
boost-thread 1.81.0
lttng-ust 2.13.6
flac-libs 1.4.3
libsndfile 1.1.0
libb2 0.98.1
woff2 1.0.2
libmpc 1.3.1
libnftnl 1.2.6
kyotocabinet-libs 1.2.80
xcb-util-keysyms 0.4.1
xcb-util-wm 0.4.2
usbredir 0.13.0
dbus-tools 1.14.10
libatasmart 0.19
libksba 1.6.4
xz 5.4.4
keyutils 1.6.1
libwpd 0.10.3
exiv2 0.27.6
exiv2-libs 0.27.6
libv4l 1.25.0
clucene-core 2.3.3.4
libfontenc 1.1.6
double-conversion 3.1.5
graphite2 1.3.14
imath 3.1.9
inih 57
libvmaf 2.3.0
mythes 1.2.5
mythes-en 3.0
webrtc-audio-processing 0.3.1
antiword 0.37
less 633
mtools 4.0.43
psmisc 23.6
iproute 6.4.0
anthy-unicode 1.0.0.20211224
diffutils 3.10
dotconf 1.3
duktape 2.7.0
giflib 5.2.1
gutenprint-libs 5.3.4
jbig2dec-libs 0.19
jbigkit-libs 2.1
libcbor 0.10.2
libdaemon 0.14
libeconf 0.5.2
dbus-daemon 1.14.10
libpasswdqc 2.0.3
libraw1394 2.1.2
linux-atm-libs 2.5.1
npth 1.6
ocl-icd 2.3.2
opencore-amr 0.1.6
pcre2-utf16 10.42
qrencode-libs 4.1.1
twolame-libs 0.4.0
xxhash-libs 0.8.2
libiec61883 1.2.0
pam_passwdqc 2.0.3
passwdqc-utils 2.0.3
dbus 1.14.10
gutenprint 5.3.4
xfsprogs 6.4.0
openexr-libs 3.1.10
clucene-contribs-lib 2.3.3.4
libbs2b 3.1.0
ntfs-3g-system-compression 1.0
ntfs-3g 2022.10.3
libcdio-paranoia 10.2+2.0.1
libpskc 2.6.9
xcb-util-cursor 0.1.4
libusbmuxd 2.0.2^20230620git8d30a55
liblouisutdml 2.11.0
libdvdnav 6.1.1
hyphen-en 2.8.8
ctags 6.0.0
nilfs-utils 2.2.9
f2fs-tools 1.16.0
boost-chrono 1.81.0
boost-locale 1.81.0
nano 7.2
nano-default-editor 7.2
gettext-libs 0.22
attr 2.5.1
soxr 0.1.3
vid.stab 1.1.1
lua 5.4.6
lua-posix 36.2.1
copy-jdk-configs 4.1
ipset-libs 7.17
ipset 7.17
lzop 1.04
squashfs-tools 4.6.1
xorg-x11-drv-wacom-serial-support 1.2.0
iw 5.19
libteam 1.32
teamd 1.32
